qid,phrase_type,qid_linked_id,image_case_url,image_name,image_organ,evaluation,question,question_rephrase,question_relation,question_frame,question_type,answer,answer_type,question_clean,answer_clean
1222,para,e7740cac-f9a0-47a1-93fc-2e44bd2bb768,https://medpix.nlm.nih.gov/case?id=fb889bae-2cb7-4040-9e9b-62c3021ec991,synpic57237.jpg,HEAD,evaluated,Is the skull fractured?,Is there a skull fracture?,strict agreement,Is/Are the skull fractured? -yes/no,PRES,No,CLOSED,is the skull fractured,no
817,test_freeform,a8b99415-56fd-485d-82ec-622daf12dc5a,https://medpix.nlm.nih.gov/case?id=1c679f24-5345-4924-8c35-be825378545b,synpic20208.jpg,ABD,given,In what plane was this image taken?,NULL,NULL,NULL,PLANE,Axial plane,OPEN,in what plane was this image taken,axial plane
1914,test_para,46e504e0-22ea-418e-9b7c-e6754c2b85e0,https://medpix.nlm.nih.gov/case?id=3deb3a6e-ed8b-44b4-8eb3-f2e85f164990,synpic60543.jpg,HEAD,evaluated,The image probably had what incidental finding?,What was probably found incidentally on this image?,strict agreement,What is incidentally found?,PRES,cavum vergae,OPEN,the image probably had what incidental finding,cavum vergae
1750,freeform,1191599c-b5e2-4819-90c0-9aefc8645217,https://medpix.nlm.nih.gov/case?id=0bfad9ca-bc2c-430f-a001-da1d81843dea,synpic40500.jpg,HEAD,evaluated,Is this image taken from the top slice of the brain?,Was this image taken from a superior-most section of the brain?,strict agreement,NULL,PLANE,No,CLOSED,is this image taken from the top slice of the brain,no
1317,freeform,df93737c-2ec9-4d21-8433-afee35d3cde9,https://medpix.nlm.nih.gov/case?id=723a92df-d02b-46c4-9c29-fec0ced51b16,synpic31217.jpg,CHEST,given,Which plane is this image taken in?,NULL,NULL,NULL,PLANE,PA,OPEN,which plane is this image taken in,pa
829,freeform,d0f44d20-d312-4962-9cba-0ac689f44087,https://medpix.nlm.nih.gov/case?id=dc1174ec-2b25-48cc-b2ac-d96102fed645,synpic16520.jpg,HEAD,given,Is this a contrast CT or a non-contrast CT?,NULL,NULL,NULL,MODALITY,Non-contrast CT,CLOSED,is this a contrast ct or a noncontrast ct,noncontrast ct
1980,freeform,c9d5242a-111c-4089-8be7-46d0d99bb8f8,https://medpix.nlm.nih.gov/case?id=716df2ed-98ef-45f8-8666-3f0cf4c0e351,synpic53574.jpg,HEAD,evaluated,What is the vascular distribution of these infarcts?,Where are the infarcts located?,Subsumed,Where is/are the infarcts located?,POS,all three vascular distributions,OPEN,what is the vascular distribution of these infarcts,all three vascular distributions
807,freeform,844a4013-c968-4936-b40f-0dc412d81fbd,https://medpix.nlm.nih.gov/case?id=a4e5b34b-9f70-4604-ab63-751990692c61,synpic28355.jpg,CHEST,not evaluated,Is this xray suggestive of aortic dissection?,NULL,NULL,NULL,PRES,No,CLOSED,is this xray suggestive of aortic dissection,no
2242,freeform,6e01da36-ccda-4462-81c4-c7b5e495fb99,https://medpix.nlm.nih.gov/case?id=5dd90eed-4b32-428a-8288-4b655496652e,synpic56841.jpg,HEAD,evaluated,"Is this a T1 weighted, T2 weighted, or FLAIR image?","Is this image modality T1, T2, or FLAIR?",strict agreement,What is/are the image weighting of the MRI?,MODALITY,FLAIR,CLOSED,is this a t1 weighted t2 weighted or flair image,flair
787,freeform,47e8ab2b-a52e-4eba-9b10-39c530d91cc5,https://medpix.nlm.nih.gov/case?id=0c5c67c3-8b21-4005-b76d-37a5f1bbc324,synpic33378.jpg,CHEST,not evaluated,Does this patient have a pleural effusion?,NULL,NULL,NULL,PRES,No,CLOSED,does this patient have a pleural effusion,no
